genus,species
Anastrepha,fraterculus
Bactrocera,tryoni
Ceratitis,capitata
Ceratitis,rosa
Drosophila,suzukii
Guignardia,bidwellii
Halyomorpha,halys
Homalodisca,vitripennis
Lobesia,botrana
Phakospora,euvitis
Phytoplasma,solani
Phytoplasma,vitis
Planococcus,ficus
Platynota,stultana
Pseudopezicula,tetraspora
Pseudopezicula,tracheiphila
Xanthomonas,ampelina
Xylella,fastidiosa
